year,avg_temp
1816,22.75
1817,20.91
1818,21.65
1819,21.01
1820,22.35
1821,21.89
1822,22.00
1823,22.54
1824,
1825,
1826,
1827,
1828,
1829,
1830,
1831,
1832,
1833,21.92
1834,21.91
1835,21.04
1836,20.95
1837,22.41
1838,25.64
1839,
1840,21.70
1841,22.07
1842,23.13
1843,21.95
1844,21.40
1845,21.66
1846,22.34
1847,21.80
1848,21.40
1849,21.61
1850,21.76
1851,21.77
1852,21.73
1853,21.80
1854,22.05
1855,22.54
1856,21.08
1857,21.39
1858,
1859,
1860,
1861,
1862,
1863,
1864,
1865,
1866,
1867,
1868,24.39
1869,23.95
1870,22.10
1871,21.97
1872,22.11
1873,22.24
1874,21.50
1875,22.48
1876,21.74
1877,21.89
1878,21.80
1879,22.38
1880,22.86
1881,22.49
1882,22.00
1883,21.93
1884,21.69
1885,21.28
1886,21.74
1887,21.94
1888,22.23
1889,22.27
1890,21.93
1891,21.51
1892,22.69
1893,21.24
1894,21.71
1895,22.19
1896,22.66
1897,21.77
1898,22.46
1899,22.67
1900,22.29
1901,22.14
1902,22.68
1903,21.68
1904,22.23
1905,21.57
1906,22.21
1907,21.81
1908,22.10
1909,21.80
1910,21.74
1911,22.12
1912,22.28
1913,21.74
1914,21.97
1915,23.00
1916,22.31
1917,21.72
1918,22.14
1919,22.07
1920,21.76
1921,23.03
1922,22.42
1923,21.86
1924,21.84
1925,21.97
1926,21.71
1927,21.89
1928,22.37
1929,22.10
1930,21.79
1931,22.29
1932,22.59
1933,21.83
1934,22.26
1935,21.75
1936,22.26
1937,22.13
1938,22.36
1939,22.33
1940,22.43
1941,23.46
1942,22.53
1943,22.50
1944,21.99
1945,22.02
1946,23.32
1947,23.37
1948,22.41
1949,22.36
1950,21.38
1951,22.39
1952,22.83
1953,23.23
1954,22.53
1955,22.39
1956,22.50
1957,21.55
1958,22.87
1959,22.42
1960,22.55
1961,21.97
1962,22.27
1963,22.66
1964,22.03
1965,22.05
1966,22.21
1967,22.16
1968,22.10
1969,22.81
1970,22.97
1971,22.62
1972,22.27
1973,22.53
1974,22.26
1975,21.89
1976,21.97
1977,22.60
1978,22.52
1979,22.60
1980,23.01
1981,22.74
1982,22.12
1983,21.93
1984,22.81
1985,23.35
1986,22.28
1987,23.08
1988,23.46
1989,22.54
1990,23.14
1991,22.48
1992,22.36
1993,23.08
1994,22.93
1995,22.61
1996,22.61
1997,22.14
1998,23.11
1999,23.80
2000,23.60
2001,23.62
2002,23.83
2003,22.99
2004,23.78
2005,22.80
2006,23.28
2007,23.33
2008,23.21
2009,23.62
2010,23.75
2011,23.36
2012,23.10
2013,24.27
