year,avg_temp
1816,26.13
1817,24.14
1818,24.83
1819,24.24
1820,25.66
1821,25.10
1822,25.19
1823,25.84
1824,
1825,
1826,
1827,
1828,
1829,
1830,
1831,
1832,
1833,25.12
1834,25.14
1835,24.27
1836,24.11
1837,25.72
1838,29.17
1839,
1840,24.93
1841,25.51
1842,26.47
1843,25.08
1844,24.66
1845,24.88
1846,25.55
1847,25.01
1848,24.71
1849,24.83
1850,24.98
1851,25.03
1852,24.99
1853,25.08
1854,25.24
1855,25.70
1856,24.21
1857,24.58
1858,
1859,
1860,
1861,
1862,
1863,
1864,
1865,
1866,
1867,
1868,
1869,
1870,25.25
1871,25.19
1872,25.24
1873,25.38
1874,24.68
1875,25.66
1876,25.07
1877,25.19
1878,25.22
1879,25.11
1880,25.89
1881,25.66
1882,25.20
1883,25.03
1884,24.99
1885,24.64
1886,25.31
1887,25.35
1888,25.32
1889,25.31
1890,25.25
1891,24.92
1892,25.81
1893,24.36
1894,24.93
1895,25.69
1896,26.02
1897,25.29
1898,25.79
1899,26.12
1900,25.75
1901,25.54
1902,26.12
1903,25.02
1904,25.64
1905,25.08
1906,25.43
1907,25.19
1908,25.17
1909,24.88
1910,24.89
1911,25.49
1912,25.57
1913,25.19
1914,25.26
1915,26.18
1916,25.29
1917,24.51
1918,25.32
1919,25.25
1920,25.22
1921,26.40
1922,25.56
1923,25.10
1924,25.24
1925,25.24
1926,24.94
1927,24.96
1928,25.68
1929,25.44
1930,25.06
1931,25.52
1932,25.73
1933,25.10
1934,25.36
1935,24.98
1936,25.40
1937,25.22
1938,25.73
1939,25.55
1940,25.79
1941,26.64
1942,25.82
1943,25.72
1944,25.17
1945,25.27
1946,26.42
1947,26.59
1948,25.81
1949,25.64
1950,24.51
1951,25.78
1952,26.06
1953,26.38
1954,25.83
1955,25.56
1956,25.39
1957,24.80
1958,26.21
1959,25.72
1960,25.65
1961,25.07
1962,25.39
1963,26.15
1964,25.15
1965,25.37
1966,25.39
1967,25.17
1968,25.23
1969,26.04
1970,26.05
1971,25.82
1972,25.29
1973,25.65
1974,25.47
1975,24.99
1976,25.23
1977,25.74
1978,25.54
1979,25.66
1980,26.36
1981,26.24
1982,25.44
1983,25.22
1984,25.82
1985,26.27
1986,25.54
1987,26.53
1988,26.77
1989,25.59
1990,26.23
1991,25.87
1992,25.71
1993,26.51
1994,26.13
1995,26.09
1996,25.92
1997,25.16
1998,26.41
1999,26.80
2000,26.71
2001,26.50
2002,27.00
2003,26.14
2004,26.96
2005,26.04
2006,26.46
2007,26.53
2008,26.33
2009,26.68
2010,26.79
2011,26.32
2012,26.11
2013,27.38
